,FACTORY NAME,NAME OF AUDITOR,REFERENCE YEAR OF AUDIT,Equipment associated,Hidden,Category of energy saving,Detailed explaination,"Categorisation of the measure ( Housekeeping, replacement…)",INVESTMENT RANGE ( LOW/MEDIUM/HIGH),TYPE OF SAVING,Electricity savings (kWh/yr),"Elec : 
Percentage of saving on total consumption",LPG savings (tonnes/yr),"LPG :
Percentage of saving on total consumption",Wood savings (tonnes/yr),"Wood :
Percentage of saving on total consumption",Diesel savings (kL/yr),"Diesel :
Percentage of saving on total consumption",Water savings (m3/yr),"Water :
Percentage of saving on total consumption",CO2 savings (tCO2/yr),Est percentage of CO2 saving,Costs savings (USD/yr),Est percentage of Cost savings,Est. Investment (USD),Est.Simple payback (yr),CURRENT STATUS,DATE OF AUDIT REPORT DELIVERY,DATE OF AUDIT PRESENTATION,Action plan,Approved,Under implementation,Implemented,Rejected,Tech.,Fin.,Practical measure implemented,Difference in energy bills,Measured energy saving (kWh/yr),CO2 saving (tCO2/yr),Cost savings (USD/yr),investment (USD),Additional cost,Simple payback (yr)
0,7,Y,0.4590965780468309,Y,0.6049650488368312,X,Z,X,0.5296811019645448,Y,0.4396374889451564,0.30337997766141733,0.7664714767070363,0.8004846105852184,0.4802744648283651,0.25845494796348645,0.8418140713099195,0.6116111959519884,0.7425546877231609,0.9624516501938163,0.5338075237179857,0.6278855638924051,0.05921315585035847,0.9829610053425697,1,0.4948607286845895,0.7236682205806213,Z,,0.33438296103284326,0.7069244823461872,0.9407694354685957,X,0.5011213639684645,0.38565910533321246,0.09810699196294004,0.4252570763433141,0.3553498685282185,0.3479824002426838,0.6540187278683233,0.9566491409578832,0.6393948539527248,0.9861988108876173,0.5653055507004427
1,2,Y,0.33341889966455296,Y,0.9733977239989312,Z,Z,X,0.34330277221325334,X,0.08668080437177117,0.9222373222205963,0.8866003274359093,0.749605268047866,0.95253252284677,0.7978309752336871,0.12476830190268784,0.7273777386687559,0.522159711316478,0.35489195269967655,0.6080199200651312,0.3681054538633798,0.4086804607498151,0.008336650332188111,4,0.8149774752852071,0.5059546862357807,Z,,0.5181705211749799,0.7798818791397746,0.9330337386592615,Z,0.5487642392619149,0.19770863351468193,0.33702271312742493,0.5411753993846602,0.4167908939652821,0.7244162433073106,0.5002524487677416,0.06350388073746638,0.6576952930805504,0.9279630880765305,0.6317179176414902
2,6,Z,0.7642389573743016,Z,0.6083720466926644,Y,Y,Z,0.6446538848431864,Z,0.2240024517647008,0.9794684183619261,0.1767623741928539,0.13124542833177,0.6064860203494769,0.5365828735730631,0.18630165918680586,0.2548053992822715,0.2004523459882035,0.9812685745385189,0.11417672630386921,0.7023703249917659,0.6777321309546869,0.21718739328967118,8,0.6712885635295897,0.22589220691720935,Z,,0.5024578733270095,0.12688400612770645,0.6630113375203036,X,0.6407170094468201,0.9397981838505853,0.03952578265221418,0.5061083304929623,0.5591642339058717,0.2258577409762227,0.18879769601893992,0.5778525349482878,0.24150930606873677,0.41564664911512983,0.3175690436684644
3,6,X,0.3491143606682252,Y,0.0041447457515418895,Y,Y,Z,0.3404891670107495,Z,0.1737006773055878,0.18069526581982487,0.06885925311428576,0.20296881444023063,0.781372905096856,0.07312688970989623,0.5877780162421562,0.3967632596535753,0.3638472366555521,0.5193258143104027,0.39499243876897994,0.7362605089543218,0.9889285145646461,0.31002890382073967,4,0.2070792556632095,0.524543350958785,Z,,0.25550807161021827,0.5860440240357347,0.7902087564830004,Z,0.8319441370244716,0.9577704417137899,0.594706126868888,0.26840158812675974,0.07113181897963705,0.7642568110034252,0.719127548266355,0.0443125744524302,0.02480262388157295,0.4359754128506462,0.8149229208515794
4,6,Y,0.007986188133630945,Y,0.3416350411489195,Z,Z,Z,0.8277710020517766,Z,0.5979202348606394,0.8161016502377356,0.9761852871586189,0.8683726973325646,0.7962931573723471,0.6214518512035273,0.5290298257786532,0.8173209408126076,0.6695542698683563,0.9507196258588907,0.11736441522016905,0.7535923807185755,0.17981021899789484,0.7034585048534615,1,0.7081434395184699,0.010770335499015182,X,,0.32817717270446,0.8951331620285771,0.35284149556241096,Z,0.355273225362172,0.28042380380438514,0.9219480318000767,0.035296253874044115,0.2562406808132591,0.6291350071943438,0.8125709972604429,0.887259359375832,0.95618357526544,0.9684026979369829,0.47451176974818665
5,4,Y,0.5701192161011042,Y,0.06482227016094744,Y,X,Z,0.17440225686811717,X,0.08046549075674336,0.4052679852530986,0.8122310361053136,0.5042332814865431,0.06635431216705157,0.5943067427814268,0.3256687142176953,0.767055092931688,0.9741577170071126,0.10606502895997649,0.6189908134363274,0.27110658601658677,0.9672220532280571,0.9835008189086211,2,0.8117057073279125,0.45284232174664074,Y,,0.3144745061416018,0.2609445564016366,0.23218929604798566,Z,0.8813248888822854,0.32930902875311063,0.44145005112755453,0.7378507055022315,0.36895165778840455,0.36494889276850095,0.3597627197725779,0.17437607115633336,0.8558636821484628,0.8515482554779277,0.5237762820086972
6,7,Y,0.6886864974362821,Y,0.5139307719775751,Z,Y,X,0.24320106236631356,Z,0.7987004103722355,0.8777647474665238,0.11184609702836945,0.5542433865682956,0.3452284296411735,0.3899201195398089,0.598520617423895,0.221578891578593,0.08286127748750072,0.24110747521825904,0.5152859453474249,0.41463107370766117,0.9745218390683127,0.2932400170077766,9,0.06752786751527728,0.025487944705349208,X,,0.18173279379702367,0.38134009642695244,0.2192232283415656,Z,0.7604660695705944,0.01866799328717894,0.4786706624770063,0.33627033195510736,0.05400584104222961,0.4567956900150383,0.6784677375630948,0.5442807395252722,0.23776567797367898,0.33016294933076884,0.9440613296428633
7,8,X,0.9732538865154265,Z,0.1810346489286041,X,X,X,0.028963646726357206,Z,0.2847194667517966,0.8198494771763604,0.5041135631989864,0.21632894125539948,0.5506046796188906,0.5032558751268806,0.2958712522895264,0.39639201798072665,0.7190004031392598,0.7616898966165434,0.7442775268135338,0.667417873549473,0.983128682944666,0.5085241267015248,2,0.4198048302096776,0.574925051412845,Y,,0.34263785896381327,0.2933315839791826,0.5077046318026287,Z,0.32677527253560834,0.20943668829001383,0.06797436201820461,0.13276940838167117,0.4643897825687687,0.5995691247187483,0.19367116950048768,0.8637404599630564,0.3799795931886314,0.6604510377592604,0.6624425051155751
8,6,Y,0.13649375758851323,Y,0.621033395052191,X,X,Y,0.32510555564129573,Y,0.1138462293227801,0.40374755893802194,0.5380269739248601,0.865747551165027,0.09700667756114212,0.6359303100235659,0.6257429664162962,0.9084815240908743,0.5706092820841353,0.9810279001802981,0.6251310061803512,0.402988668604745,0.018391505920641316,0.17914747489002592,4,0.46650390790614105,0.5859217024490057,Y,,0.3004005005992175,0.7931363739950582,0.95634093625625,Z,0.4927727640645584,0.6568214438469626,0.40387796718790314,0.8947069336301349,0.2210268383918823,0.05518134942779307,0.1955220956637339,0.16836469337388493,0.7588983363093628,0.18468682592405294,0.00225515910339269
9,8,Z,0.765461042017377,Y,0.1066247361373599,Z,Z,Z,0.05590246161826595,Y,0.43333932194559666,0.9653099571421021,0.016752808696844368,0.6431397693652235,0.46796642365496477,0.3120312842596854,0.4869836252270161,0.8978024928658387,0.8823669525543735,0.9185552160269844,0.2957858487267724,0.6018790058010748,0.6599428592678707,0.6416036148934706,2,0.6108981143017252,0.3909906276443402,X,,0.4061582297050236,0.9384779090697727,0.14847791393267062,Z,0.8560923059890767,0.4464229053514226,0.45722174994560627,0.9056685414668871,0.8652189053106378,0.46599181444807325,0.7937478514940719,0.3626061102358056,0.3228872117830085,0.29302541296829954,0.2563584871272949
